Coeffiecient of Variation,Mean of Vertex to Vertex Slope,Variance of Vertex to Vertex Slope,Hjorth_Activity,Hjorth_Mobility,Hjorth_Complexity,Kurtosis,2nd Difference Mean,2nd Difference Max,Skewness,1st Difference Mean,1st Difference Max,FFT Delta MaxPower,FFT Theta MaxPower,FFT Alpha MaxPower,FFT Beta MaxPower,Delta/Theta,Delta/Alpha,Theta/Alpha,(Delta+Theta)/Alpha,1Wavelet Approximate Mean,Wavelet Approximate Std Deviation,Wavelet Approximate Energy,Wavelet Detailed Mean,Wavelet Detailed Std Deviation,Wavelet Detailed Energy,Wavelet Approximate Entropy,Wavelet Detailed Entropy,2Wavelet Approximate Mean,Wavelet Approximate Std Deviation,Wavelet Approximate Energy,Wavelet Detailed Mean,Wavelet Detailed Std Deviation,Wavelet Detailed Energy,Wavelet Approximate Entropy,Wavelet Detailed Entropy,3Wavelet Approximate Mean,Wavelet Approximate Std Deviation,Wavelet Approximate Energy,Wavelet Detailed Mean,Wavelet Detailed Std Deviation,Wavelet Detailed Energy,Wavelet Approximate Entropy,Wavelet Detailed Entropy,4Wavelet Approximate Mean,Wavelet Approximate Std Deviation,Wavelet Approximate Energy,Wavelet Detailed Mean,Wavelet Detailed Std Deviation,Wavelet Detailed Energy,Wavelet Approximate Entropy,Wavelet Detailed Entropy,5Wavelet Approximate Mean,Wavelet Approximate Std Deviation,Wavelet Approximate Energy,Wavelet Detailed Mean,Wavelet Detailed Std Deviation,Wavelet Detailed Energy,Wavelet Approximate Entropy,Wavelet Detailed Entropy,6Wavelet Approximate Mean,Wavelet Approximate Std Deviation,Wavelet Approximate Energy,Wavelet Detailed Mean,Wavelet Detailed Std Deviation,Wavelet Detailed Energy,Wavelet Approximate Entropy,Wavelet Detailed Entropy,7Wavelet Approximate Mean,Wavelet Approximate Std Deviation,Wavelet Approximate Energy,Wavelet Detailed Mean,Wavelet Detailed Std Deviation,Wavelet Detailed Energy,Wavelet Approximate Entropy,Wavelet Detailed Entropy,8Wavelet Approximate Mean,Wavelet Approximate Std Deviation,Wavelet Approximate Energy,Wavelet Detailed Mean,Wavelet Detailed Std Deviation,Wavelet Detailed Energy,Wavelet Approximate Entropy,Wavelet Detailed Entropy,AR1,AR2,AR3,AR4,AR5,AR6,AR7,AR8,AR9,AR10,AR11,AR12,AR13,AR14,AR15,AR16,AR17,AR18,AR19,AR20,AR21,AR22,AR23,AR24
-16.9002240249554,237740.50687745668,2501049939.404194,999592880.8225644,127.54222349656976,116.28201004497448,-142.42539549485429,293126.5676567686,580657.6701542891,-14.823463934027247,358115.9357247612,638456.1174088232,1053.4069550246006,48.294181265086635,3.487652034203276,2.0433794851948854,21.81229554845236,302.03900638420265,23.634465166650443,315.8861966404172,-24869.576337668637,3721.4983189544055,3794072261.718649,431.69174445131557,2443.0059879182672,36927816.115391575,592218917.0892302,77055677030.18112,-24638.911983043505,3802.3060908365314,3729201091.8994637,454.279642845982,2499.8593998970905,38734002.07894869,623732524.5354272,75684108612.45242,-24688.987068340244,3760.995683790657,3742147025.964983,442.95930274915673,2461.9503066697093,37544473.53841857,603045062.4578741,75955573204.34053,-24939.341369194928,3663.7546788603286,3812363077.6566505,415.027943696976,2389.2340829674877,35284126.183576986,563803627.0328968,77439752499.9278,-25047.898294354014,3641.875185984414,3843962783.0075502,408.43345046475616,2380.469140837218,35000707.283620976,558879241.6200794,78109977210.44283,-24866.87324276054,3722.0685575665952,3793291075.312475,431.27591859427895,2442.413293466993,36908289.68438173,591884331.9433262,77039120363.7545,-24636.575491335632,3803.2219805411746,3728552096.2413063,453.9355532843715,2499.361914752775,38717204.804713495,623446086.104891,75670408873.253,-24683.74079663582,3762.4833594611855,3740660044.474355,442.7989999401372,2462.011275518672,37545422.85077438,603073182.5000196,75924111982.82385,-0.6606100733752753,-0.37624314729247077,0.05594166741041714,-0.6645511200068821,-0.4009396460677359,0.08596218941222249,-0.6629933192785885,-0.38709123331876266,0.06993231949377611,-0.6593058809392951,-0.35262214150462184,0.03017620820034289,-0.6579131726726727,-0.3448875211762197,0.0206318689487869,-0.6608802984697505,-0.37574005499897467,0.055716123303905296,-0.664846093248006,-0.4005274713080058,0.08585743398060583,-0.6632520441184997,-0.38678222578465554,0.0699048866311211,3
-16.811949093073565,234210.68202375184,2485821969.871375,988750715.3236089,127.638391322573,116.03160136292138,-142.34432929693634,291278.44553517975,580866.8961029851,-14.609080451765347,355337.33075023943,637138.4637377674,178.50110443279436,30.945302998529932,2.6941076502173047,2.370763685028545,5.768277804268846,66.25611430871984,13.052883842430434,77.74240476783862,-25025.891665700194,3639.424270995021,3837243976.1260204,407.3988176902357,2384.7676049838747,35118541.958615564,560810242.9721199,77966906977.33038,-24920.541709928493,3693.9001964099857,3808069786.66394,423.75102973109307,2431.077330730966,36538211.53915296,585333014.0810838,77350978014.8404,-24646.395651131108,3795.7444995726396,3731114969.3887806,452.583638004076,2506.030672193169,38910130.0761717,626650132.3425362,75724203091.0846,-24587.87972354055,3796.160215535027,3713847970.0878453,452.5402680865436,2499.1762194159755,38704046.819605015,623128827.5767552,75357512768.65689,-24821.538969022648,3697.747578343101,3778692803.663112,424.3568515292636,2421.4351618377605,36260561.88254454,580605615.1638938,76726823236.49,-25023.938727677494,3639.884685609517,3836677619.8265533,406.81911949426893,2384.488153585199,35107713.303445466,560630315.2186581,77954897543.91187,-24921.863153141825,3692.9357462128914,3808422224.6975117,423.12404613232775,2430.587431618725,36520735.32694981,585036804.839649,77358387012.46516,-24649.416825570854,3794.5859440188265,3731955793.963685,452.43129564837426,2505.670648114037,38898476.844613716,626444581.3568289,75741963189.8431,-0.6544724834062952,-0.3457052728003029,0.01798519941587865,-0.655912710338673,-0.368756243559527,0.04331696500347541,-0.6606286362743856,-0.40199940613276075,0.0829898897435906,-0.6609770791819207,-0.4002890099640455,0.0817089545109317,-0.6569669576897536,-0.3671042565536074,0.042887695305692794,-0.6547487756723362,-0.3454192530850553,0.017982556794807075,-0.6557780838342349,-0.3682526737006948,0.042660998063148325,-0.660370649521358,-0.4017822748429929,0.08249368468595135,3
-16.804007007413908,233544.68914037122,2486968760.5492873,987330052.1341412,127.66922516902015,115.95846274517586,-142.42453244017682,291264.8527932713,583881.6454366087,-14.835933189931332,354787.0864503591,639055.5749551753,205.30078178358707,50.46437117360045,3.886071323774283,2.522272343671818,4.068232240075679,52.82990575278275,20.00750287740004,65.81586688655518,-24770.3748621681,3704.3116971815425,3763760375.773233,435.2448990677602,2433.6904170240673,36673723.00847569,587858538.969452,76409914204.97092,-24980.98949323548,3631.771734922378,3823437611.9743342,418.9882904208069,2392.2182725763546,35389556.7069477,565488817.2469369,77672480558.70224,-24962.352735149132,3658.919877140237,3819040492.448036,419.8974930177041,2408.1759381008965,35853751.52094411,573571924.7460209,77581214565.63686,-24741.157874396584,3754.3732988843162,3757321270.9991493,436.9280423726214,2463.2240746243037,37550273.73612197,603184544.7389779,76277355998.17429,-24623.345596697054,3785.8854980504752,3723852464.272375,446.52822898762815,2482.1575507542243,38162961.39629422,613924295.2990663,75569083774.36899,-24776.357031163996,3706.2707380909997,3765625863.1184354,435.17895232993914,2434.790735967966,36705519.891038485,588413573.9466903,76449750445.33331,-24983.681521480903,3633.845940279051,3824335072.1068134,418.3331797782361,2392.45961317202,35393193.8997755,565562324.7805226,77691759161.2285,-24963.549681068693,3660.9736338521593,3819489243.7616725,418.6542890958829,2407.3698582583584,35824206.289375484,573080002.0650305,77590947596.48026,-0.6541790248650368,-0.3750754817386866,0.04824674432763402,-0.6488136895274873,-0.3533774566886235,0.020015914123958797,-0.6531662674691902,-0.35986226683686506,0.031194156644083038,-0.6619770431406695,-0.38488627343772824,0.06650005201800066,-0.6629816094330757,-0.3934001619936315,0.07659280785381106,-0.6542055580630717,-0.3750373151935194,0.04824815666031288,-0.649155072163787,-0.35272629799566985,0.019720957322785008,-0.6538326283796771,-0.3586066942081863,0.03061647316997533,3
-16.79306840448399,232714.15925984026,2490786350.496064,984933301.6481817,127.79143523333607,115.8601498321304,-142.6268734558955,290971.8762114296,585036.4377928562,-14.750701883504668,354402.06233518437,639272.1234139351,35.28573282435068,9.205970066478281,2.2435014732804213,0.7454824033127163,3.8329184832825707,15.727973992705385,12.349010554198882,19.83136780640207,-24611.463520438137,3783.080986964394,3720215030.2307324,446.0366794086821,2473.870152740463,37913893.51198826,609667256.0161015,75491561179.15736,-24668.01421557128,3738.53750056593,3734925527.8965864,442.6415926730115,2447.4801541211773,37116544.10628674,595680590.5869782,75800194572.07904,-24889.5018929183,3651.585269673877,3796928276.7556973,425.3117008966154,2395.035149312601,35502500.45617443,567490156.2804432,77110476847.6795,-24970.149304296283,3638.7991781408023,3820495294.4261184,418.266826928671,2387.8289838610744,35260046.36805594,563293199.2701287,77610489748.24261,-24798.58097556957,3715.9103002880443,3772665646.5700073,430.49036827351347,2432.383066236178,36610856.02853266,586854226.8415046,76600125327.85126,-24608.26524852355,3782.731817962349,3719254671.289901,446.0400579038488,2473.2654833808083,37895963.307226636,609356485.9494823,75471126839.48291,-24665.43548335206,3739.404867561976,3734201138.0816936,442.4967780852556,2446.7152371125962,37093313.10080869,595285505.1099682,75784883067.28453,-24888.450242107323,3652.8868077922994,3796671224.9063697,425.3700689288139,2394.0668832063643,35474975.62083565,567022326.0840667,77105135128.5132,-0.6637534303460884,-0.3891019426346306,0.07303175036943779,-0.6579179025017478,-0.38024032992911977,0.05771176909397032,-0.6513907382565048,-0.35610488170372034,0.02569003326504622,-0.652522988263079,-0.3503364466453764,0.02078378358802083,-0.6599344852702498,-0.37160256238613415,0.050614046841762655,-0.6639668937967765,-0.38914384376371147,0.07329494343746808,-0.6584242259129881,-0.3799746171716766,0.05797028579025104,-0.6518454437408869,-0.35545325527124033,0.02550847173787895,3
-16.78637233729407,232336.20684620412,2494941687.740103,983191262.9416856,127.90271708874329,115.80388972130244,-142.7880993061866,290681.4986092335,585651.9651520778,-14.742553836371492,354262.0708401003,639915.4208074779,32.64554955487405,8.427580190947765,1.2852623905089233,0.5768843851147316,3.8736563539246176,25.39991039646577,14.608785414206826,31.95699963612734,-24876.774415840624,3677.0801476353713,3794248942.49254,425.8359431993442,2414.682076334744,36072154.681756474,577452551.9135398,77055569521.59567,-24652.68938227415,3761.9057736701757,3731442172.973193,443.80868662377947,2466.7803690032856,37691829.23533626,605770888.8901678,75728123458.29382,-24609.05724148595,3758.8826151294147,3718409380.9743257,447.7916462323892,2464.887854847648,37657136.97246574,605173480.4676803,75451060744.8175,-24805.77308475353,3674.325840595883,3772962292.2909203,432.94293606635665,2412.694616065677,36051209.377692364,577077284.3154756,76602909429.9929,-24969.268687315416,3627.789939991337,3819751431.7683153,419.8390492867918,2385.3512677882823,35196992.988271214,562210176.9871798,77593733784.21481,-24878.772154296665,3676.8778647156646,3794836408.4246607,426.00430607435095,2414.602601904208,36070712.36349877,577424438.0313437,77068050246.95215,-24655.013121952903,3761.48282768207,3732110550.6397023,443.7811004029008,2467.3401054057867,37708253.16491189,606051540.6262462,75742290350.88095,-24608.468606987317,3759.5829769108086,3718267148.0481467,447.85708812279614,2466.3241275472183,37699984.04102027,605915848.5413212,75448104825.3666,-0.654248486849336,-0.3620086286379799,0.03473630291983953,-0.6601373789948566,-0.3852550430181743,0.0652256353847771,-0.6578253720972259,-0.38570353502611765,0.06339580298430884,-0.650353303744915,-0.36350702692912257,0.032415844055869183,-0.6485993740519785,-0.34774907564489776,0.014122641353830725,-0.6540583255110229,-0.3618599284281526,0.034390758125748676,-0.6597717949668112,-0.3853364665890579,0.06493194642198151,-0.6574693018111649,-0.38601881469246185,0.06336040591013334,3
-16.768075263500865,231620.64202822946,2497695443.593323,979778174.1086547,128.04635816389282,115.72707670957669,-143.11327001462226,290206.21873306436,585816.7456610068,-14.656830403978011,353788.77339340694,639911.1134255049,34.88343406799062,9.906352585365683,3.5140471833303946,2.803313742658303,3.521319654978032,9.926854207725885,3.533800885223703,12.745926368270142,-24928.492668257284,3630.000845003934,3807639917.0765185,425.07788131260594,2387.6352193347225,35288958.87473269,563792083.504559,77336360172.69879,-24933.72451246252,3645.743010362245,3809892360.965877,423.87611397491264,2397.4644013263246,35565039.0937528,568612479.3309274,77385532059.75105,-24717.308224619042,3730.924457776194,3749190739.0827174,440.2631311956197,2449.6769284910415,37168492.072028846,596600169.7958313,76102476470.04172,-24574.918813908665,3768.6762867911643,3708777333.988946,451.9315437289518,2474.7377361944973,37971413.89897379,610664216.8426569,75247288208.23274,-24709.145331768003,3701.4415216213847,3745455194.186493,442.13245459435024,2431.975421279684,36659913.34268472,587697037.1863544,76020634129.96368,-24927.81297884237,3629.579266062995,3807418233.340659,425.05992191918887,2387.720067017889,35291298.33397115,563830994.8623545,77331604064.97989,-24935.8205233027,3645.0125934571024,3810487571.8609505,423.78862773959054,2396.7196902909263,35543172.448977835,568233031.9605767,77398127492.54712,-24724.691555937334,3729.1113110396745,3751299862.238178,440.02930527828454,2448.5149032762242,37133106.1264168,595988208.2605928,76147138969.32599,-0.6470371894098162,-0.35048750116861094,0.015384870786598837,-0.6503068162008846,-0.35404422896115495,0.022383468925269823,-0.6570474209906934,-0.3786110633310672,0.05501904641872476,-0.6577760536413396,-0.3896467039941512,0.06746559145492051,-0.651081565275933,-0.3732425965969114,0.04334829578649667,-0.6470768574244385,-0.3508710973437666,0.01581060248779569,-0.6504269829964421,-0.35394912603305495,0.0224001795076181,-0.6568549875528505,-0.3781082052726518,0.054289041963675226,3
-16.75125695387353,231057.9070446893,2502039057.6771364,976720555.5383894,128.20640214648677,115.65466925471566,-143.4643009107454,289847.18833712634,586588.9867321963,-14.624053870791439,353503.1255644015,640053.3530296099,30.944048755365117,9.472486708357668,6.402808232090629,6.916567034376381,3.2667291819013986,4.832887013587996,1.3695358783162195,6.312313909568095,-24626.320572488083,3723.2773434363335,3721910754.6905766,450.92151757176885,2451.069509466106,37266431.73146186,598305086.0942222,75522281598.70575,-24854.057454209036,3640.6225106671473,3785869825.213802,433.38200807308823,2398.2767520590073,35637308.06632897,569841162.8416448,76874375341.6247,-24964.68529273855,3618.3705451368915,3817968703.004345,424.5061082496189,2385.3649970443007,35221029.63039237,562611092.2772593,77554977784.39366,-24812.866233099787,3684.390194647718,3775518370.8487186,435.4125232277281,2425.725107530193,36442358.17611541,583903772.6949542,76657967661.4957,-24603.571931226208,3754.6521849105843,3716598988.828056,451.84817852977966,2469.7711804585633,37823618.76158619,608091944.2444704,75412143109.45734,-24626.50463146663,3724.3561993262233,3722013356.7786427,449.9228122305883,2450.1634169327804,37234387.8398472,597775727.6132264,75524552234.83286,-24844.48965708599,3641.7294122815856,3783065156.5999765,432.8741426132042,2397.9567395570584,35625459.28878141,569656784.577185,76814832614.90814,-24956.64999390206,3619.400297188136,3815606624.5765038,424.16340826383004,2384.9116760896254,35206309.79795169,562366376.5223606,77504823877.63074,-0.6505443023194438,-0.38261692781151574,0.052561338961210305,-0.6448297539994156,-0.3584150839855476,0.021327236334104,-0.6454004278940194,-0.34996623709403435,0.013037711719749882,-0.6513381863256583,-0.36944920771376527,0.03944211368811535,-0.6554373373684517,-0.3885889087387749,0.06383894668192878,-0.6512216173931645,-0.38199930850657515,0.05262971448223228,-0.645371269007655,-0.358218307206872,0.021698818050539,-0.6458538137471289,-0.34953157459801426,0.013078586567661978,3
-16.74998358305485,230573.34165578964,2510117134.7561474,975396967.8516138,128.3506873727461,115.58398260365001,-143.63195572781362,289546.4550014667,587758.9393337436,-14.617667875541414,353506.05702312756,640848.4406831911,33.33249393219596,7.975525594091167,9.210709701617313,8.974254512812385,4.179347622793792,3.618884430408559,0.888711767947371,4.484781397358971,-24634.230638071258,3729.90436458869,3724545034.1919985,449.48112926688424,2460.5237885721567,37537263.59817909,603038916.054089,75578683900.95975,-24544.07118843384,3744.045500128056,3698575843.2596245,456.1655644290397,2469.450125301894,37837625.66114641,608322146.7436001,75028396031.3985,-24720.120482265123,3667.63188746085,3747215281.91774,443.02725650915914,2420.255759379818,36323466.54492728,581809532.7002074,76055040754.63731,-24918.457643894868,3610.1501395467344,3803776292.2839117,428.04099699697,2385.167095857369,35233447.02162502,562807864.4426382,77252431438.56868,-24875.1455459589,3642.873212241675,3792260347.0386434,431.5951419320668,2406.13054687107,35854431.45075261,573625220.5842731,77010287654.59862,-24653.54105613893,3725.959022433058,3730079143.4614677,449.326131737121,2458.684886630781,37482152.06645077,602081830.8201653,75695918307.65054,-24570.125194919834,3740.1038954452083,3706076575.456553,455.99624468062143,2467.8064017629604,37788006.070470475,607463122.2232672,75187363541.56136,-24747.31477367705,3664.438094164339,3755146170.3205037,442.67634767576357,2418.891426462632,36281988.49083588,581089848.5205525,76223320497.36946,-0.6521460266015688,-0.3852022332261756,0.05683279986022931,-0.6512944827707698,-0.3896622537906755,0.06075011446186279,-0.6446368752822298,-0.3699556693246518,0.033203513387692826,-0.642172598232224,-0.35141199790198213,0.011246764340017385,-0.6459245247164869,-0.36078255992117725,0.02480461708007072,-0.6512778596653822,-0.3841985777592237,0.05487664807111159,-0.6503392498276279,-0.38869732783875166,0.05873501335678841,-0.6440039455068313,-0.3691903562211691,0.031725663350823705,3
-16.745675448558817,230185.14205871447,2515292995.231455,974143339.6619456,128.46249482951166,115.52141301957388,-143.82121254880894,289394.79891737853,588713.1863817691,-14.575949510328392,353445.7195678912,641287.4636069596,31.352108470811046,7.813981361570791,3.643413766441754,2.4718804379838035,4.012309093159719,8.605146294276171,3.1611485901576564,10.749833080482755,-24904.1121178989,3619.596700000606,3799897683.909206,428.4052470251266,2390.0139262968673,35374185.74142977,565318396.991199,77170714532.22638,-24717.845232939373,3693.251014989981,3747671856.115608,442.8883123087733,2437.1790533700123,36815950.77219157,590461599.9645807,76066844452.33209,-24536.143657741577,3748.215733464976,3696428800.6675596,457.3007355111715,2473.001724192925,37949168.943361424,610321997.8150086,74983139575.88736,-24616.50710477678,3701.317131254743,3718033023.2738724,451.10862330544063,2441.932324636437,36999194.808749065,593682678.8475474,75437949956.59985,-24848.244186338005,3623.049307991902,3783370352.592126,433.6386316638932,2391.952720671019,35456881.68478093,566745378.6170764,76819682415.04437,-24918.78222921862,3616.7339408550947,3804158833.1169305,428.37191842775263,2389.131793049279,35348719.350338034,564865638.4373279,77261091515.47137,-24736.045523734578,3690.4572741418283,3752948538.267215,442.24781688622033,2435.3083804216367,36757860.2357549,589447631.7965814,76178743443.89935,-24549.852085674054,3746.6604979912295,3700396213.8940964,456.94278984361586,2471.9230545364453,37915201.80443315,609732275.0315632,75067265429.47467,-0.6432810866090597,-0.3517263933810415,0.01277157106889076,-0.6485299074736375,-0.37382421995104886,0.04124675737911097,-0.6508132168242025,-0.3890965745246769,0.05973996121869589,-0.6457342894650301,-0.37781367664962423,0.04268365670535839,-0.641150015668283,-0.35450939874261744,0.013540624380248853,-0.6427205720971098,-0.35148580826755166,0.011919039949148936,-0.6483915658200022,-0.37314616406382367,0.04036999682788674,-0.6506602378058439,-0.3886843682191532,0.05913209493950685,3
-16.724256491997814,229919.40203791804,2521496445.162005,970516985.9411358,128.68332819322004,115.4711999728168,-144.11554142149026,288625.1591395893,588149.6414967385,-14.529999792860888,353435.3712839696,641889.1333211763,25.790484503692905,8.057071790036659,6.64504321342794,8.790066225433632,3.2009748920923493,3.8811612920103973,0.9166110451732332,5.093654805033062,-24744.138744088617,3645.9596252724687,3753392542.6549463,443.5355347630293,2411.420425174913,36070033.4252897,577400016.2310641,76184431299.86113,-24910.24920609965,3602.623016624917,3800996448.6594224,430.52358941438916,2384.0686075037074,35214802.11796149,562505826.3743746,77192654414.87149,-24821.644963271232,3647.856648954414,3776525500.884054,437.26806982866515,2412.6822078064497,36073432.80454495,577459741.9471893,76676170626.62611,-24594.08266560808,3726.6869961246884,3712542588.779093,455.24409368055444,2463.590722080343,37659158.58450824,605198093.0004355,75323435149.46777,-24547.845779188156,3724.8209383584267,3698826140.5298357,459.00080504488534,2462.463314293779,37646443.87964733,604988195.0056227,75032020124.2219,-24750.602113731304,3645.8036372016145,3755305134.9196386,443.84767130871677,2411.330671519394,36069098.17641805,577377291.9270948,76225076367.73183,-24922.634190692934,3601.566047120393,3804653837.969202,430.3977912444525,2383.3015917790012,35192212.416506544,562104530.4883789,77270353955.4108,-24834.949197788974,3646.324536769735,3780422305.70525,437.08579659337846,2411.6295784989375,36042007.304847784,576902839.1229671,76758894155.39459,-0.6402710721638502,-0.36594186491726827,0.024525849300651367,-0.6395202421295478,-0.35083726490972467,0.007935996366325714,-0.6439546320452477,-0.36424501005676047,0.02642310598405132,-0.648575425045664,-0.38671078668332703,0.05478014596021279,-0.6463148518083793,-0.38733151468495475,0.053186140812512765,-0.6401018171189086,-0.36604270890332763,0.02444503432588055,-0.6393980061467518,-0.3506476589329278,0.0075932677150698765,-0.643755827041354,-0.3638972204090651,0.025836091922018897,3
